id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,answer,explain_core,explain_reason,tags_raw,kc_ids_raw
204504136,"（標準純音聴力検査）
標準純音聴力検査について誤っているのはどれか。",１. 骨導聴力は250、500、1K、２K、４KHzの5周波数を測定する。,２. 外耳道閉鎖効果で低音部の骨導閾値が低下する。,３. 気導から骨導への両耳間移行減衰量はどの周波数でも等しい。,４. 非検査耳に大きなAir-Bone gapがあるとマスキングが困難になる。,５. 気導受話器の装着が不良の場合、聴力閾値が上昇する可能性がある。,C,,,audiometry,
921544343,オージオグラムについて誤っているのはどれか。,１. オージオグラムの縦軸は聴力レベル（dBHL）を表す。,２. オージオグラムの横軸は周波数（Hz)を表す。,３. 気導聴力の右耳は◯で示す。,４. 骨導聴力は線で結ぶ。,５. 周波数は１オクターブ間隔である。,D,,,audiometry,
1142203372,オージオメーターの音圧較正に関わる、受話器と較正機器の組合せで正しいのはどれか。（２つ）,a. 気導受話器―――人工マストイド,b. 骨導受話器―――２ccカプラ,c. インサートイヤホン―――６ccカプラ,d. 骨導受話器―――人工マストイド,e. インサートイヤホン―――２ccカプラ,D,,,audiometry,
1350116657,気導聴力レベルが40dBHL、骨導聴力レベル15dBHLであった。この耳に60dBのマスキングノイズを負荷した。誤っているのはどれか。,１. 実効マスキングレベルは60dBHLである。,２. 骨導のマスキングの実効レベルは35dBである。,３. 骨導の聴力レベルは35dBHLまで上昇する。,４. 気導の聴力レベルは60dBHLまで上昇する。,５. 気導と骨導のマスキングの実効レベルは等しい。,B,,,audiometry,
1989514139,マスキングノイズについて誤っているのはどれか。,１. バンドノイズは狭帯域雑音である。,２. ホワイトノイズはあらゆる周波数成分を等しく含む雑音である。,３. 語音聴力検査には広帯域雑音が使用される。,４. オージオメーターのマスキング用ダイアル値は実効マスキングレベルの値で表示される。,５. 固定周波数の自記オージオメトリでは広帯域雑音が使用される。,E,,,audiometry,
309445368,純音聴力検査のマスキングについて誤っているのはどれか。,バンドノイズを使用する。,クロスヒアリング防止のために行う。,非検査耳に行う。,検査耳に伝音障害があるとマスキングは困難になる。,負荷量が多すぎるとオーバーマスキングとなる。,D,,,audiometry,
64887343,検査とマスキング音の組合せで誤っているのはどれか。,純音聴力検査 --- バンドノイズ,ABR --- ホワイトノイズ,語音弁別検査 --- スピーチノイズ,固定周波数自記オージオメトリ --- バンドノイズ,SISI検査 --- ホワイトノイズ,E,,,audiometry,
1966038358,"（インピーダンスオージオ）
ティンパノグラムについて正しいのはどれか。",１. 通常、静的コンプライアンス値は圧力負荷のない状態で一番小さくなる。,２. 圧力負荷をかけると音響インピーダンスは低下する。,３. 鼓膜の可動性が大きいと静的コンプライアンス値のピークは陰圧側に移動する。,４. 中耳腔に滲出液が貯留した場合、圧力負荷で静的コンプライアンスは大きく変動する。,５. アブミ骨底板の可動性が低下すると音響インピーダンスは増加する。,E,,,audiometry,
1543458586,ティンパノグラムの組合せで正しいのはどれか。,１. 突発性難聴―――B型,２. 聴神経腫瘍―――A型,３. 耳小骨離断―――As型,４. 耳硬化症―――B型,５. 騒音性難聴―――C型,B,,,audiometry,
417474196,ティンパノグラムについて誤っている組合せはどれか。,A型 ––– 正常,B型 ––– 滲出性中耳炎,A型 ––– Auditory neuropathy,Ad型 ––– 耳小骨骨折,C型 ––– 耳管開放症,E,,,audiometry,
1618706885,耳小骨筋反射検査について誤っているのはどれか。,１. 上オリーブ核は反射弓上にある。,２.70から80dBHL程度の難聴があると反射は消失する。,３. 同側刺激と反対側刺激がある。,４. 結果は刺激側の聴力を反映する。,５. 顔面神経麻痺では反射は消失しない。,E,,,audiometry,
1130383829,"（語音聴力検査）
語音聴力検査について誤っているのはどれか。",１. 難聴の障害部位同定に使用される。,２. 語音弁別検査では最高語音明瞭度を（％）で示す。,３. SRTのスピーチオージオグラムは実線で結ぶ。,４. 両耳で普通話声の最高語音明瞭度が50％以下だと身体障害者手帳４級に該当する。,５. 67―S語表を使用する。,C,,,audiometry,
458979619,語音弁別検査結果について誤っているのはどれか。,１. 右耳の最高語音明瞭度は85％である。,２. 左耳の最高語音明瞭度は80％である。,３. 普通の声の大きさで会話可能と考えられる。,４. 単音節表を使用している。,５. 67―S語表は50語で構成される。,E,,,audiometry,
1401181597,スピーチオージオグラムで正しいのはどれか。,数表を使用して評価された。,SRTのスピーチオージオグラムである。,左耳の最高語音明瞭度は20％である。,右耳はロールオーバ現象が見られる。,左耳は内耳性感音難聴が示唆される。,D,,,audiometry,
1547126302,語音弁別検査について正しいのはどれか。,１. 単音節→単語→短い文章と難易度を上げて検査する。,２. 書字できないと検査できない。,３. 音場では検査できない。,４. 閾値上60dB程度から下降法で検査する。,５. 伝音障害の場合、最高語音明瞭度はほとんど低下しない。,E,,,audiometry,
975499641,語音弁別検査について誤っているのはどれか。,正常であれば語音明瞭度は必ず100％になる。,67ーS語表の単音節表は1表20音からなる。,両耳で普通話声の最高語音明瞭度が50％以下になれば身体障害者手帳4級に相当する。,聴覚障害の障害部位同定に使用される。,後迷路障害の場合、最高語音明瞭度は著しく低下する。,A,,,audiometry,
1808838672,SRTについて誤っているのはどれか。,数表を使用する。,1表は同じ提示レベルで行う。,正答率50％のところを聴取閾値（dB）とする。,スピーチオージオは破線で結ぶ,6表必ず使用する。,B,,,audiometry,
